Id,CreationDate,Reputation,UpVotes,DownVotes,NumPosts,TotalScore,TotalViews,TotalComments
"18270023","2022-02-21 15:34:07","1","0","0","0","","",""
"23810776","2024-03-26 09:13:11","1","0","0","0","","",""
"14586055","2020-11-05 19:46:07","1","0","0","1","0","84","3"
"1455949","2012-06-14 10:20:49","1","0","0","1","0","","0"
"22882195","2023-11-08 18:17:05","1","0","0","0","","",""
"25668525","2024-06-21 17:49:21","1","0","0","0","","",""
"8953298","2017-11-16 17:38:46","1","0","0","0","","",""
"12380040","2019-11-15 18:18:17","1","0","0","0","","",""
"29272936","2025-01-20 02:41:11","1","0","0","0","","",""
"29456030","2025-02-01 06:46:33","1","0","0","0","","",""
"17975951","2022-01-19 15:55:36","1","0","0","0","","",""
"26966941","2024-08-23 14:42:56","1","0","0","0","","",""
"3144340","2013-12-29 17:12:43","76","2","0","16","3","","10"
"19912385","2022-09-03 19:04:47","1","0","0","0","","",""
"29924153","2025-03-07 05:11:15","1","0","0","0","","",""
"20176862","2022-10-06 14:56:11","1","0","0","0","","",""
"14415372","2020-10-08 16:51:43","1","0","0","0","","",""
"19088833","2022-05-10 20:35:18","1","0","0","0","","",""
"16713123","2021-08-20 10:33:38","1","0","0","0","","",""
"24065525","2024-04-06 19:47:02","1","0","0","0","","",""
"24586499","2024-04-22 23:57:36","1","0","0","0","","",""
"6497590","2016-06-22 06:26:25","41","0","0","4","1","3609","8"
"5755139","2016-01-07 01:54:37","1","0","0","0","","",""
"15558512","2021-04-05 15:17:01","65","5","0","8","4","6487","21"
"13770189","2020-06-18 15:49:20","1","0","0","0","","",""
"14812084","2020-12-12 07:53:00","1","0","0","0","","",""
"11609697","2019-06-06 14:44:44","1","0","0","0","","",""
"14754228","2020-12-03 06:50:11","1","0","0","0","","",""
"13635428","2020-05-28 14:53:17","1","0","0","0","","",""
"21894065","2023-05-13 19:05:01","1","0","0","0","","",""
"11466758","2019-05-07 20:30:16","1","0","0","0","","",""
"27955653","2024-10-23 18:45:45","1","0","0","0","","",""
"10067237","2018-07-11 21:21:36","1","0","0","0","","",""
"29321136","2025-01-22 20:23:28","1","0","0","0","","",""
"11129539","2019-02-28 08:32:14","171","6","0","28","12","37835","38"
